"package","swat-sbom-license-analyse"
"pkg:npm/%40hapi/accept@5.0.2","yes"
"pkg:npm/%40napi-rs/triples@1.0.3","yes"
"pkg:npm/%40next/env@10.2.3","yes"
"pkg:npm/%40next/polyfill-module@10.2.2","yes"
"pkg:npm/%40next/react-dev-overlay@11.1.1","yes"
"pkg:npm/%40next/react-refresh-utils@11.0.1","yes"
"pkg:npm/%40node-rs/helper@1.2.1","yes"
"pkg:npm/%40npmcli/fs@1.0.0","yes"
"pkg:npm/%40types/node@16.10.1","yes"
"pkg:npm/abbrev@1.1.1","yes"
"pkg:npm/agentkeepalive@4.1.4","yes"
"pkg:npm/aggregate-error@3.1.0","yes"
"pkg:npm/anser@1.4.9","yes"
"pkg:npm/ansi-regex@2.1.1","yes"
"pkg:npm/ansi-regex@5.0.1","yes"
"pkg:npm/ansi-styles@3.2.1","yes"
"pkg:npm/ansi-styles@4.3.0","yes"
"pkg:npm/anymatch@3.1.2","yes"
"pkg:npm/aproba@1.2.0","yes"
"pkg:npm/are-we-there-yet@1.1.7","yes"
"pkg:npm/asn1.js@5.3.0","yes"
"pkg:npm/assert@2.0.0","yes"
"pkg:npm/ast-types@0.13.3","yes"
"pkg:npm/available-typed-arrays@1.0.5","yes"
"pkg:npm/balanced-match@1.0.2","yes"
"pkg:npm/base64-js@1.5.1","yes"
"pkg:npm/big.js@5.2.2","yes"
"pkg:npm/binary-extensions@2.2.0","yes"
"pkg:npm/bn.js@4.12.0","yes"
"pkg:npm/bn.js@5.2.0","yes"
"pkg:npm/brace-expansion@1.1.11","yes"
"pkg:npm/braces@3.0.1","yes"
"pkg:npm/brorand@1.1.0","yes"
"pkg:npm/browserify-aes@1.2.0","yes"
"pkg:npm/browserify-cipher@1.0.1","yes"
"pkg:npm/browserify-des@1.0.2","yes"
"pkg:npm/browserify-sign@4.2.1","yes"
"pkg:npm/browserify-zlib@0.2.0","yes"
"pkg:npm/browserslist@4.16.6","yes"
"pkg:npm/buffer@4.9.2","yes"
"pkg:npm/buffer@5.6.0","yes"
"pkg:npm/buffer-xor@1.0.3","yes"
"pkg:npm/builtin-status-codes@3.0.0","yes"
"pkg:npm/bytes@3.1.0","yes"
"pkg:npm/cacache@15.3.0","yes"
"pkg:npm/call-bind@1.0.2","yes"
"pkg:npm/caniuse-lite@1.0.30001267","yes"
"pkg:github/carbon-design-system/carbon@v10.30.0-rc.0","yes"
"pkg:maven/ch.qos.logback/logback-classic@1.2.3","yes"
"pkg:maven/ch.qos.logback/logback-core@1.2.3","yes"
"pkg:npm/chalk@4.0.0","yes"
"pkg:npm/chokidar@3.5.1","yes"
"pkg:npm/chownr@2.0.0","yes"
"pkg:npm/cipher-base@1.0.4","yes"
"pkg:npm/classnames@2.2.6","yes"
"pkg:npm/clean-stack@2.2.0","yes"
"pkg:npm/code-point-at@1.1.0","yes"
"pkg:npm/color-convert@1.9.2","yes"
"pkg:npm/color-convert@2.0.1","yes"
"pkg:npm/colorette@1.4.0","yes"
"pkg:maven/com.blackducksoftware.integration/integration-common@18.1.0","yes"
"pkg:maven/com.blackducksoftware.magpie/magpie@0.6.0","yes"
"pkg:maven/com.esotericsoftware.yamlbeans/yamlbeans@1.11","yes"
"pkg:maven/com.fasterxml.jackson.core/jackson-annotations@2.10.2","yes"
"pkg:maven/com.fasterxml.jackson.core/jackson-core@2.10.0","yes"
"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.10.0","yes"
"pkg:maven/com.fasterxml.jackson.dataformat/jackson-dataformat-yaml@2.9.8","yes"
"pkg:maven/com.flipkart.zjsonpatch/zjsonpatch@0.4.8","yes"
"pkg:maven/com.github.jsonld-java/jsonld-java@0.12.3","yes"
"pkg:maven/com.google.code.findbugs/jsr305@3.0.2","yes"
"pkg:maven/com.google.code.gson/gson@2.8.6","yes"
"pkg:maven/com.google.errorprone/error_prone_annotations@2.3.4","yes"
"pkg:maven/com.google.guava/failureaccess@1.0.1","yes"
"pkg:maven/com.google.guava/guava@29.0-jre","yes"
"pkg:maven/com.google.guava/listenablefuture@9999.0-empty-to-avoid-conflict-with-guava","yes"
"pkg:maven/com.google.j2objc/j2objc-annotations@1.3","yes"
"pkg:maven/com.igormaznitsa/meta-annotations@1.1.3","yes"
"pkg:maven/com.jayway.jsonpath/json-path@2.4.0","yes"
"pkg:maven/com.moandjiezana.toml/toml4j@0.7.1","yes"
"pkg:maven/com.paypal.digraph/digraph-parser@1.0","yes"
"pkg:maven/com.synopsys.integration/blackduck-common@48.1.3","yes"
"pkg:maven/com.synopsys.integration/blackduck-common-api@2019.12.0.5","yes"
"pkg:maven/com.synopsys.integration/integration-bdio@21.1.0","yes"
"pkg:maven/com.synopsys.integration/integration-common@20.1.1","yes"
"pkg:maven/com.synopsys.integration/integration-reporting@1.0.2","yes"
"pkg:maven/com.synopsys.integration/integration-rest@1.0.5","yes"
"pkg:maven/com.synopsys.integration/phone-home-client@2.0.0","yes"
