"package","swat-sbom-license-analyse","swat-sbom-license-analyse-tree"
"pkg:maven/ch.qos.logback/logback-classic@1.2.3","EPL-1.0 OR LGPL-2.1-only","EPL-1.0 OR LGPL-2.1-or-later"
"pkg:maven/ch.qos.logback/logback-core@1.2.3","EPL-1.0 OR LGPL-2.1-only","EPL-1.0 OR LGPL-2.1-or-later"
"pkg:maven/com.esotericsoftware.yamlbeans/yamlbeans@1.11","BSD-3-Clause","BSD-2-Clause"
"pkg:maven/com.github.jsonld-java/jsonld-java@0.12.3","BSD-3-Clause",""
"pkg:github/crypto-browserify/crypto-browserify@v3.12.0","MIT",""
"pkg:github/crypto-browserify/publicencrypt@v4.0.3","MIT",""
"pkg:rpm/fedora/apache-commons-codec@1.11-1.fc28","Apache-2.0",""
"pkg:github/fitzgen/glob-to-regexp@0.4.1","BSD-2-Clause",""
"pkg:npm/next-skip-ssr@11.1.2-alpha.1","MIT",""
"pkg:maven/org.antlr/antlr4-runtime@4.7.2","BSD-3-Clause OR MIT","BSD-3-Clause"
"pkg:maven/org.checkerframework/dataflow@3.1.1","""GPL-2.0-only WITH Classpath-exception-2.0"" OR MIT","MIT"
"pkg:maven/org.freemarker/freemarker@2.3.26-incubating","Apache-2.0",""
"pkg:maven/org.webjars.bowergithub.tootallnate/util-deprecate@1.0.2","MIT",""
"pkg:maven/org.webjars.npm/babel__runtime@7.15.3","MIT",""
"pkg:maven/org.webjars.npm/iconv-lite@0.6.3","MIT",""
"pkg:maven/org.webjars.npm/ms@2.0.0","MIT",""
"pkg:maven/org.webjars.npm/ms@2.1.3","MIT",""
"pkg:maven/org.webjars.npm/platform@1.3.6","MIT",""
"pkg:maven/org.webjars.npm/webidl-conversions@4.0.2","BSD-2-Clause",""
"pkg:npm/pako@1.0.11","MIT","MIT OR Zlib"
"pkg:github/raynos/xtend@v4.0.2","MIT",""
"pkg:github/substack/minimist@1.2.4","MIT",""
"pkg:github/substack/node-commondir@1.0.1","MIT",""
"pkg:github/substack/stream-browserify@v2.0.2","MIT",""
"pkg:github/tim-kos/node-retry@88548b9cd3b00948bd5cb4c4e460c2c8aacb85ae","MIT",""
"pkg:github/tootallnate/node-gyp@v8.2.0","MIT",""
"pkg:npm/type-fest@0.7.1","CC0-1.0 OR MIT","MIT"
"pkg:deb/ubuntu/node-imurmurhash@0.1.4-1","MIT",""
